Fecha,Potencia(kW),Energia,Tonelaje_mineral_fresco(ton),Agua_alimentada(ton),Porcentaje_de_solidos,Densidad_hidroseparador
2024-11-30 05:15:00,6246.52392578125,13.0854339599605,479.36857604980503,0.0,55.0609893798825,40.362833023071005
2024-11-30 05:30:00,6247.5209960938,13.002464294433501,480.48652648926,0.0,54.9783897399905,39.872289657593
2024-11-30 05:45:00,6232.9841308593495,12.9796648025515,480.55830383300497,0.0,55.2712650299075,40.2874603271485
2024-11-30 06:00:00,6209.5686035156505,12.9468789100645,480.38801574706997,0.0,55.302152633667,40.212432861328
2024-11-30 06:15:00,6230.1301269531505,12.9871339797975,480.358001708985,0.0,55.555242538452006,40.335971832275504
2024-11-30 06:30:00,6235.9880371093495,12.988843917847,479.94010925293003,0.0,55.3067455291745,40.3970699310305
2024-11-30 06:45:00,6266.2744140625,13.0531854629515,481.15492248534997,0.0,54.696441650391,40.062475204468
2024-11-30 07:00:00,6288.8427734375,13.1198678016665,479.4055480957,0.0,54.765247344970504,40.378259658813505
2024-11-30 07:15:00,6266.42724609375,13.1187090873715,479.60966491699503,0.0,54.598222732544,40.4131317138675
2024-11-30 07:30:00,6299.7231445312,13.095941543578999,480.48243713379,0.0,54.776559829712,40.30898475647
2024-11-30 07:45:00,6291.5871582031505,13.1208786964415,480.36299133301,0.0,54.266963958740504,40.260938644409
2024-11-30 08:00:00,6256.4123535156505,12.992914199829,480.62367248534997,0.0,54.240478515625,40.328884124756
2024-11-30 08:15:00,6240.0441894530995,12.5149292945865,498.20510864258,0.0,54.772090911865,40.468059539795
2024-11-30 08:30:00,6230.1901855468495,12.483981132507001,500.092529296875,0.0,55.170373916626005,41.291717529297
2024-11-30 08:45:00,6195.78466796875,12.414350986481,499.78775024414,0.0,55.435916900634496,41.358283996582
2024-11-30 09:00:00,6194.3098144530995,12.4395713806155,497.075317382815,0.0,55.5417785644535,41.192457199097
2024-11-30 09:15:00,6200.3977050781505,12.5052518844605,498.67469787597497,0.0,55.597217559814496,40.79425239563
2024-11-30 09:30:00,6498.8513183593495,20.70743560791,314.518905639645,0.0,50.9771194458005,38.3225326538085
2024-11-30 09:45:00,6404.15966796875,12.805759906769,500.467651367185,0.0,54.972951889038,41.5720348358155
2024-11-30 10:00:00,6300.8347167968495,12.5890960693355,498.789123535155,0.0,53.5780658721925,41.64483833313
2024-11-30 10:15:00,6301.8696289063,12.544671535492,500.3525390625,0.0,54.7526168823245,42.4666805267335
2024-11-30 10:30:00,6201.4748535156505,12.428379058838,498.972213745115,0.0,56.268051147461,42.183485031128
2024-11-30 10:45:00,6224.6337890625,12.4877276420595,499.2922668457,0.0,56.348527908324996,41.0921897888185
2024-11-30 11:00:00,6204.3645019530995,12.630111217498499,496.69734191894497,0.0,57.7393169403075,41.4214000701905
2024-11-30 11:15:00,6292.1350097655995,12.619565010070499,498.78192138672,0.0,55.7391986846925,38.457193374634
2024-11-30 11:30:00,6241.3952636719005,12.6035380363465,495.73869323730503,0.0,54.337785720825494,37.8885231018065
2024-11-30 11:45:00,6189.3388671875,12.364170551299999,500.82260131836,0.0,56.4356727600095,42.3727741241455
2024-11-30 12:00:00,6142.8720703125,12.2941093444825,498.75810241699503,0.0,57.2102375030515,41.986225128174
2024-11-30 12:15:00,6081.0458984375,12.3144397735595,496.68641662598,0.0,57.3184356689455,40.856103897095
2024-11-30 12:30:00,6124.72216796875,12.202230453491001,501.391372680665,0.0,58.185079574585004,40.9991550445555
2024-11-30 12:45:00,6109.97119140625,12.233199119567999,500.05677795409997,0.0,58.863916397095,41.2174015045165
2024-11-30 13:00:00,6086.06201171875,12.2207050323485,500.453704833985,0.0,58.899673461914006,41.345304489136
2024-11-30 13:15:00,6076.5590820312,12.087947368622,501.405029296875,0.0,58.724996566772504,40.720296859741
2024-11-30 13:30:00,6041.9609375,12.103053569793499,499.62126159668003,0.0,59.0917530059815,41.283411026001
2024-11-30 13:45:00,6059.4377441405995,12.085898399353,500.52389526367,0.0,59.6277503967285,41.382764816283995
2024-11-30 14:00:00,6020.4172363281505,12.1052532196045,498.87042236328,0.0,59.230218887329,40.965717315674
2024-11-30 14:15:00,5995.0256347655995,11.9423995018005,500.905181884765,0.0,59.579513549805,41.507097244263
2024-11-30 14:30:00,5983.548828125,11.9518756866455,499.82873535156,0.0,60.269289016724,41.912738800049
2024-11-30 14:45:00,5926.7346191406505,11.8884377479555,498.349090576175,0.0,60.594156265259,41.882038116455
2024-11-30 15:00:00,5900.1633300780995,11.9099974632265,496.57392883300497,0.0,60.501932144164996,41.268939971924
2024-11-30 15:15:00,5917.5751953125,11.8749804496765,495.87022399902503,0.0,61.004035949707,41.6240043640135
2024-11-30 15:30:00,5917.2429199219005,11.9909381866455,494.91688537597497,0.0,60.671802520751996,40.9930114746095
2024-11-30 15:45:00,5873.4008789063,11.8305411338805,496.12489318848,0.0,60.8788299560545,40.760757446289
2024-11-30 16:00:00,5843.3286132812,11.735876560211,496.63700866699503,0.0,61.474534988403505,41.3946475982665
2024-11-30 16:15:00,5803.5,11.602156162262,498.58978271484,0.0,61.418628692626996,40.6112480163575
2024-11-30 16:30:00,5733.3215332031505,11.515095710754,498.571166992185,0.0,62.2153701782225,41.7283344268795
2024-11-30 16:45:00,5727.7604980469005,11.45263338089,499.840881347655,0.0,61.9104251861575,40.659719467163
2024-11-30 17:00:00,5668.9152832031505,11.317442893982001,500.22712707519497,0.0,62.430887222289996,41.2463607788085
